"gene_id","predicted_expr","gene_name","grp"
"ENSG00000100106.22_15",0.0140870584419302,"TRIOBP","Healthy"
"ENSG00000103855.18_8",-0.00162157843011226,"CD276","Healthy"
"ENSG00000134575.13_9",-0.0359763619382134,"ACP2","Healthy"
"ENSG00000144559.11_9",-0.179687983951552,"TAMM41","Healthy"
"ENSG00000151353.15_11",0.111737324482492,"TMEM18","Healthy"
"ENSG00000165434.8_7",-0.102434672101513,"PGM2L1","Healthy"
"ENSG00000180871.8_9",0.436242926080197,"CXCR2","Healthy"
"ENSG00000183255.12_10",0.0103451254966714,"PTTG1IP","Healthy"
"ENSG00000003402.21_9",-0.0348415106015185,"CFLAR","Healthy"
"ENSG00000006747.15_7",0.0810044599170863,"SCIN","Healthy"
"ENSG00000058085.15_7",-0.256490476940957,"LAMC2","Healthy"
"ENSG00000100106.22_15",-0.16957333194029,"TRIOBP","Healthy"
"ENSG00000103855.18_8",-0.00162157843011226,"CD276","Healthy"
"ENSG00000134575.13_9",-0.0529005801603708,"ACP2","Healthy"
"ENSG00000144559.11_9",-0.231907413556689,"TAMM41","Healthy"
"ENSG00000151353.15_11",0.0283758432764329,"TMEM18","Healthy"
"ENSG00000165434.8_7",-0.135672193351168,"PGM2L1","Healthy"
"ENSG00000180871.8_9",-0.21484108971045,"CXCR2","Healthy"
"ENSG00000183255.12_10",-0.0944502413541132,"PTTG1IP","Healthy"
"ENSG00000003402.21_9",-0.0348415106015185,"CFLAR","Healthy"
"ENSG00000006747.15_7",0.202126859159855,"SCIN","Healthy"
"ENSG00000058085.15_7",-0.264351801331665,"LAMC2","Healthy"
"ENSG00000100106.22_15",-0.114353688009488,"TRIOBP","Healthy"
"ENSG00000103855.18_8",-0.00162157843011226,"CD276","Healthy"
"ENSG00000134575.13_9",-0.122102832790968,"ACP2","Healthy"
"ENSG00000144559.11_9",0.172554899296968,"TAMM41","Healthy"
"ENSG00000151353.15_11",0.00204710365107645,"TMEM18","Healthy"
"ENSG00000165434.8_7",0.0670850123806932,"PGM2L1","Healthy"
"ENSG00000180871.8_9",-0.0919635802721045,"CXCR2","Healthy"
"ENSG00000183255.12_10",-0.274585000191656,"PTTG1IP","Healthy"
"ENSG00000003402.21_9",-0.0186469349410658,"CFLAR","Healthy"
"ENSG00000006747.15_7",-0.35453288200544,"SCIN","Healthy"
"ENSG00000058085.15_7",-0.237590755520327,"LAMC2","Healthy"
"ENSG00000100106.22_15",-0.33257307393215,"TRIOBP","Healthy"
"ENSG00000103855.18_8",-0.132486239624762,"CD276","Healthy"
"ENSG00000134575.13_9",-0.205285777292996,"ACP2","Healthy"
"ENSG00000144559.11_9",-0.230501019996599,"TAMM41","Healthy"
"ENSG00000151353.15_11",-0.167093881476983,"TMEM18","Healthy"
"ENSG00000165434.8_7",-0.165926165661114,"PGM2L1","Healthy"
"ENSG00000180871.8_9",-0.634434909107483,"CXCR2","Healthy"
"ENSG00000183255.12_10",-0.307294290129926,"PTTG1IP","Healthy"
"ENSG00000003402.21_9",-0.0739147166836278,"CFLAR","Healthy"
"ENSG00000006747.15_7",-0.237784652407726,"SCIN","Healthy"
"ENSG00000058085.15_7",-0.0961530373521627,"LAMC2","Healthy"
"ENSG00000100106.22_15",-0.186217691399345,"TRIOBP","Healthy"
"ENSG00000103855.18_8",-0.0219850748590978,"CD276","Healthy"
"ENSG00000134575.13_9",-0.177708373580245,"ACP2","Healthy"
"ENSG00000144559.11_9",-0.111280927400345,"TAMM41","Healthy"
"ENSG00000151353.15_11",-0.194171300106002,"TMEM18","Healthy"
"ENSG00000165434.8_7",-0.0448722299691491,"PGM2L1","Healthy"
"ENSG00000180871.8_9",-0.0936752390670631,"CXCR2","Healthy"
"ENSG00000183255.12_10",-0.153541322148116,"PTTG1IP","Healthy"
"ENSG00000003402.21_9",0.112011077048008,"CFLAR","Healthy"
"ENSG00000006747.15_7",-0.0940566903667648,"SCIN","Healthy"
"ENSG00000058085.15_7",-0.135926902795813,"LAMC2","Healthy"
"ENSG00000100106.22_15",-0.0577488218646121,"TRIOBP","Healthy"
"ENSG00000103855.18_8",-0.0445628887325433,"CD276","Healthy"
"ENSG00000134575.13_9",0.0786843926373783,"ACP2","Healthy"
"ENSG00000144559.11_9",-0.050174808198658,"TAMM41","Healthy"
"ENSG00000151353.15_11",0.072863066023837,"TMEM18","Healthy"
"ENSG00000165434.8_7",-0.042131226944977,"PGM2L1","Healthy"
"ENSG00000180871.8_9",-0.000346934925189845,"CXCR2","Healthy"
"ENSG00000183255.12_10",0.0945726055990055,"PTTG1IP","Healthy"
"ENSG00000003402.21_9",-0.0348415106015185,"CFLAR","Healthy"
"ENSG00000006747.15_7",-0.016194927423399,"SCIN","Healthy"
"ENSG00000058085.15_7",-0.00307061355181211,"LAMC2","Healthy"
"ENSG00000100106.22_15",-0.0283463354547351,"TRIOBP","Healthy"
"ENSG00000103855.18_8",-0.0445628887325433,"CD276","Healthy"
"ENSG00000134575.13_9",0.0141821631722075,"ACP2","Healthy"
"ENSG00000144559.11_9",-0.0959552800877346,"TAMM41","Healthy"
"ENSG00000151353.15_11",0.0541088649769225,"TMEM18","Healthy"
"ENSG00000165434.8_7",-0.102434672101513,"PGM2L1","Healthy"
"ENSG00000180871.8_9",0.022903081828158,"CXCR2","Healthy"
"ENSG00000183255.12_10",0.0635812074667451,"PTTG1IP","Healthy"
"ENSG00000003402.21_9",-0.0325238752803396,"CFLAR","Healthy"
"ENSG00000006747.15_7",0.0011804060900859,"SCIN","Healthy"
"ENSG00000058085.15_7",-0.246636764129849,"LAMC2","Healthy"
"ENSG00000100106.22_15",-0.118350596297139,"TRIOBP","Healthy"
"ENSG00000103855.18_8",-0.00162157843011226,"CD276","Healthy"
"ENSG00000134575.13_9",0.0786843926373783,"ACP2","Healthy"
"ENSG00000144559.11_9",0.171697506638304,"TAMM41","Healthy"
